Duration	protocol_type	service	flag	src_bytes	dst_bytes	land	wrong_fragment	urgent	hot	num_failed_logins	logged_in	num_compromised	root_shell	su_attempted	num_root	num_file_creations	num_shells	num_access_files	num_outbound_cmds	is_host_login	is_guest_login	count	srv_count	serror_rate	srv_serror_rate	rerror_rate	srv_rerror_rate	same_srv_rate	diff_srv_rate	srv_diff_host_rate	dst_host_count	dst_host_srv_count	dst_host_same_srv_rate	dst_host_diff_srv_rate	dst_host_same_src_port_rate	dst_host_srv_diff_host_rate	dst_host_serror_rate	dst_host_srv_serror_rate	dst_host_rerror_rate	dst_host_srv_rerror_rate	Classification	xAttack	xprotocol_type	xservice	xflag
13	1	4	2	118	2425	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	26	10	0.38	0.12	0.04	0	0	0	0.12	0.3	guess_passwd	3	1	4	2
0	3	1	2	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0.75	0.5	0	255	254	1	0.01	0.01	0	0	0	0	0	snmpguess	6	3	1	2
0	1	4	7	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	255	79	0.31	0.61	0	0	0.21	0.68	0.6	0	processtable	6	1	4	7
0	3	1	2	53	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	511	0	0	0	0	1	0	0	255	255	1	0	0.87	0	0	0	0	0	normal	5	3	1	2
0	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	16	1	0.06	1	1	0	1	1	0	0	nmap	4	1	1	6
0	1	5	2	54540	8314	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	2	9	0	0	0.5	0.11	1	0	0.22	255	229	0.9	0.01	0	0	0	0	0.01	0	back	1	1	5	2
0	1	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	9	0	0	1	1	0.04	0.06	0	255	9	0.04	0.07	0	0	0	0	1	1	neptune	1	1	13	1
7570	1	4	2	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	255	165	0.65	0.33	0	0	0.49	0.76	0.33	0.01	processtable	6	1	4	2
0	3	1	2	56	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	294	0	0	0	0	1	0	0	255	255	1	0	0.93	0	0	0	0	0	normal	5	3	1	2
0	1	2	2	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	93	51	0.09	0.04	0.09	0.04	0	0	0.01	0	normal	5	1	2	2
0	1	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	1	0.14	0	0.86	1	0	1	0	255	1	0	0.94	0	0	0.13	0	0.87	1	satan	4	1	18	1
0	1	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	1	0.07	0	0.93	1	0	1	0	255	1	0	1	0	0	0.07	0	0.93	1	saint	6	1	18	1
0	1	4	2	21	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	0	0.21	0.75	0.57	0.5	0.75	0.93	255	40	0.16	0.02	0	0	0	0	0.24	0.5	mscan	6	1	4	2
0	3	1	2	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	1	0	0	255	254	1	0.01	0	0	0	0	0	0	snmpguess	6	3	1	2
0	1	4	7	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	255	115	0.45	0.02	0	0	0.53	0.36	0.01	0.01	processtable	6	1	4	7
0	1	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0	0	1	0.89	0.5	1	1	64	59	0.25	0.08	0.02	0.03	0	0	0.88	1	mscan	6	1	13	1
0	1	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	94	1	1	0	0	1	0	0	255	255	1	0	0	0	0.76	0.76	0.21	0.21	apache2	6	1	5	4
0	1	51	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	15	1	1	0	0	0.09	0.09	0	255	15	0.06	0.09	0	0	1	1	0	0	neptune	1	1	51	4
0	1	4	7	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	255	146	0.57	0.02	0	0	0.53	0.49	0.01	0.01	processtable	6	1	4	7
0	3	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	1	0	0	0	0	0.01	0.96	0	255	1	0	0.69	0.99	0	0	0	0.01	0	satan	4	3	1	2
0	1	4	7	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	255	158	0.62	0.02	0	0	0.55	0.53	0.01	0.01	processtable	6	1	4	7
0	3	18	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	1	0	0	0	0	0	1	0	255	1	0	1	1	0	0	0	0	0	satan	4	3	18	2
0	1	18	2	240	619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	66	11	0.17	0.08	0.02	0	0	0	0.11	0.64	httptunnel	6	1	18	2
10	1	9	2	27	93	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	255	214	0.84	0.02	0	0	0	0	0.04	0	guess_passwd	3	1	9	2
